Feature1,Feature2,Feature3,ComLevel
2545,2564.1,2523.5,2540.3
2562.95,2574,2544,2549.75
2542,2578.5,2527,2545.4
2546.5,2568.4,2540.6,2552
2565,2565,2543,2551.65
2551.65,2558.9,2536,2547.6
2555,2565,2541.05,2550.35
2565,2586,2539,2551.25
2550,2557.1,2533.2,2551.05
2557.5,2572.4,2490,2526.8
2534.3,2557.75,2512.6,2532.65
2535.5,2590,2529.9,2580.4
2594,2619,2579.5,2593.7
2583.35,2634,2569.85,2588.25
2643.7,2643.7,2570.95,2588.05
2599,2649.95,2592.2,2644.6
2652.7,2770,2652.7,2711.65
2725,2726,2684,2700
2693.95,2717,2646.95,2653.95
2670,2678.35,2620,2633.8
2650.5,2650.6,2608,2629.65
2655,2660.35,2587,2592.6
2602.8,2612,2567.6,2598.55
2548,2548,2480,2483.7
2490,2503.5,2465,2467.75
2480.9,2492,2470,2473.75
2490,2494.95,2455.85,2488.75
2496.25,2530,2495.6,2526.75
2535,2542,2522.25,2530
2548,2548,2527.3,2537.15
2549,2549,2515.1,2536.55
2530.05,2544.9,2520.35,2531.1
2510.05,2533.55,2510.05,2529.1
2533.55,2535.4,2490.05,2495.35
2500,2511.9,2485,2495.2
2500,2522.8,2487.55,2517.35
2528,2547.8,2518.5,2543.45
2545,2547.2,2520,2533.8
2530.8,2534.95,2480,2482.65
2492,2518.25,2483.45,2505.75
2495,2502.75,2468.6,2471.35
2472.95,2477,2450,2458.15
2475,2475,2450,2468.8
2438.05,2438.05,2386.55,2397.4
2390,2390,2356,2374.6
2380.5,2398.45,2375,2390.55
2388.9,2388.9,2346,2351.45
2365.35,2381.6,2352,2362.55
2366.5,2423.55,2361.95,2398.35
2405.3,2413.4,2382.25,2391.05
2380.05,2392.45,2365.5,2367.95
2377.9,2382.4,2337.85,2345.55
2348,2359.45,2332.5,2353.35
2365,2391.25,2350.15,2364.7
2362.9,2378.05,2357.05,2361.9
2378,2378.1,2346.5,2365.2
2360,2373,2347,2350.75
2340,2347.3,2321.1,2328.4
2332.2,2343.9,2315.25,2319.8
2319.4,2349,2317.3,2329
2337.9,2372.8,2320,2367.65
2369,2391.2,2352,2384.55
2383,2391.95,2363.25,2386
2335.2,2387,2330.6,2378.45
2378.45,2385,2363.05,2375.85
2384,2414.5,2384,2408.4
2415,2445,2393.35,2439.75
2420,2434.2,2400.65,2416.8
2419.95,2450,2406.85,2446.4
2440,2440,2400,2405.05
2415,2435,2410.55,2425.8
2421,2438.2,2404,2434.25
2428,2466.4,2420.2,2462.7
2458.35,2465.3,2445.75,2455.8
2453.05,2459,2412.3,2418.3
2415.75,2448.5,2407.5,2436.85
2439,2439,2412.25,2416.4
2410.15,2414,2366.05,2369.6
2385,2386.6,2341,2348.95
2350.2,2386.15,2350.2,2381.6
2370,2382.9,2360,2371.25
2385,2407.35,2372.5,2397.6
2382.5,2384,2348.85,2362.35
2362.7,2365,2301.6,2327.05
2317,2327,2255.1,2279.2
2273,2298.9,2250,2278.8
2288.85,2291.7,2255,2261.1
2262,2291.9,2260,2277.65
2277,2300,2268.3,2279.3
2273.8,2285,2243,2280.1
2285,2289.9,2245.75,2254.5
2273,2302.05,2260,2295.75
2301.9,2339,2291.5,2304.65
2302,2329.95,2281.9,2319.75
2315.5,2348.9,2308.05,2331.2
2358.7,2400,2335.05,2391.3
2391.1,2412.95,2359,2402.7
2409,2433,2379.7,2398.1
2387.5,2429.9,2360.3,2416.3
2421.9,2440,2402,2420.05
2408.1,2439.95,2408.1,2421.95
2400,2412.05,2347,2362.95
2333.6,2333.6,2255.6,2281.4
2275,2289.9,2258.1,2268.8
2280,2289,2171.65,2197.95
2200,2243.4,2164,2226.6
2250,2306.85,2240,2269.15
2266,2282,2243,2265.55
2265,2279.65,2246.4,2275.55
2285,2319.75,2278,2315.85
2307.35,2327,2305.45,2319.65
2320.25,2343,2305,2315.9
2310.25,2319.9,2256.75,2264
2262.45,2262.45,2201.2,2210.95
2219.8,2228,2185.65,2212.85
2229.7,2256.9,2199.6,2210.5
2237,2237,2115,2176.8
2193,2285.1,2162,2276.65
2305,2330,2256.25,2318.85
2336,2391,2301,2373.15
2380,2380,2349.55,2357.55
2342.1,2367,2304.2,2354.3
2341,2369.4,2295.15,2357.25
2356.05,2359.85,2314.95,2348.3
2340,2390.85,2335,2365.25
2362,2398,2340,2355
2349.05,2363.5,2320.1,2329.9
2315,2332,2306.9,2327.05
2334,2361.8,2332,2352.05
2360,2430,2360,2425.85
2426,2454.95,2420,2446.25
2442,2485,2436.5,2473.1
2487.9,2487.9,2457.3,2473.8
2491,2517.15,2461.55,2473.4
2478,2486.95,2455,2469.4
2470.9,2505,2460,2489.5
2478.3,2550,2472.15,2520.3
2505,2520.85,2434.1,2453.9
2456,2488,2447,2471.25
2470.8,2484.9,2442.05,2462.75
2470,2489,2459.35,2481.9
2480,2484.7,2457,2470.8
2466,2473.7,2427,2432.05
2433,2517,2413,2506.65
2498,2525,2488.1,2518.15
2530,2545,2512.5,2526.2
2453,2553.5,2440,2519.75
2534.9,2534.9,2440,2450.35
2451,2467.4,2412.2,2424.4
2419,2435.4,2404.2,2417.05
2402.3,2457.05,2402.3,2451.25
2449,2493.5,2442,2489.8
2480,2514.6,2475.9,2511.1
2501.3,2540,2498.1,2527.75
2517,2542,2510,2535.5
2529,2530,2500,2526.7
2525,2530,2472,2478.1
2473.9,2494.05,2457,2478
2478,2489.95,2463.55,2470.3
2465,2484.3,2431,2473.4
2473.4,2518,2456.4,2512.55
2515,2533.95,2496,2522.9
2500,2525.6,2490,2518.3
2520.55,2569.9,2520.55,2566.2
2565,2566,2510.15,2523.4
2538,2564.8,2522.5,2551.15
2564.2,2591.25,2552,2570.2
2565.85,2565.85,2526.05,2551.1
2555,2560,2526.1,2556.95
2542.3,2565.8,2522.8,2529.3
2544,2545.9,2480.2,2491.45
2484,2488.25,2459.6,2467.7
2481,2532.95,2481,2526.45
2530,2564.9,2505.1,2548.7
2553.15,2579.85,2550.6,2572.65
2583,2641.95,2582,2636.4
2640,2647,2562,2569.4
2571.2,2645,2571,2633.55
2600,2654.3,2600,2650.15
2651.4,2658,2620.5,2629.55
2620.5,2639,2603.2,2612.5
2614,2639,2613,2631.15
2617.25,2628.55,2605.5,2613.1
2622.4,2622.4,2555.2,2577.25
2566,2603.25,2553.2,2555.75
2540,2553.35,2518,2547
2558.95,2558.95,2518.25,2534.85
2530,2564.9,2522,2556.85
2545.55,2564.7,2516.45,2558.3
2559,2610,2559,2602.6
2602.6,2668,2591.8,2659.3
2663.5,2665,2641.4,2651.2
2650,2677.7,2631.75,2667.65
2655,2659.5,2625.3,2645.35
2565.15,2593.2,2514.15,2573.95
2547,2547,2482.65,2495.85
2495.85,2502.9,2458.4,2463.95
2475,2512.5,2465.3,2502.9
2522,2562.9,2500.35,2553.1
2562,2564.6,2494.35,2500.85
2516,2525.85,2482,2494.2
2494.2,2497.05,2477.15,2485.3
2487.7,2491.85,2425,2429.8
2435,2442.05,2403.5,2426.6
2430,2471.8,2427,2464.15
2471.7,2475,2435.85,2464.95
2478,2499.25,2451.25,2493.1
2486,2529,2471,2521.9
2517,2527.8,2426.55,2445.35
2447,2469,2430.6,2433.45
2427.5,2472.8,2427.5,2466.2
2450,2502.5,2448.15,2494.95
2489.5,2519.5,2464.45,2506.05
2498.9,2524,2492,2515.1
2512,2563.2,2505.8,2558.95
2558.95,2568,2533,2552.6
2555,2580.4,2545,2577.55
2580.5,2629.55,2577.05,2619.25
2614,2634.9,2599,2619.3
2632,2725,2632,2708.25
2702.9,2715.7,2689.8,2699.2
2686,2699,2649.05,2656.3
2670,2682.95,2636.25,2652
2673.9,2684.3,2632,2649.1
2640,2668,2629.05,2649.5
2658,2659.8,2578.85,2650.2
2651,2682,2648,2675.4
2665.55,2715,2665.55,2709.9
2705,2744.8,2702.05,2738.45
2738,2740,2673.85,2691.7
2699,2699,2618,2624.55
2635,2657.55,2630.1,2638.55
2640,2646.45,2600,2603.5
2588,2594.45,2536.3,2548.7
2544.95,2604.95,2540.2,2601.05
2589.8,2602,2569.05,2572.05
2580,2589.7,2526,2551.05
2559.8,2572.55,2517.2,2524.95
2534.95,2534.95,2466.75,2500.55
2510,2549.8,2501.25,2544.15
2550,2550,2500.85,2511.3
2524.9,2534.95,2487.05,2507.5
2512,2519.4,2496.05,2514.8
2519.9,2520.15,2480,2484.05
2499.7,2499.7,2423,2440.55
2360,2360,2284.75,2322.1
2329.7,2366.65,2320.05,2352.45
2337,2363.95,2324,2359.05
2362,2377.6,2310,2328.45
2339.95,2342.1,2316.75,2326.95
2336.7,2376,2320,2361.7
2365,2427,2350,2411.45
2411,2416.9,2385.4,2406.5
2407.7,2424,2400.7,2413.4
2425.25,2428,2371.1,2378
2382,2403.85,2371.15,2398.1
2401.1,2419.1,2395,2401.1
2401.1,2448,2401.1,2436.1
2431,2437.5,2415.2,2423.05
2435,2456.5,2419.6,2437.8
2437.05,2449.8,2423.1,2430.8
2450,2457.65,2401.1,2411.7
2420,2425.05,2398,2405.15
2408,2415.4,2376.1,2386.35
2395,2402.4,2372.75,2388.75
2388,2388,2358.2,2367.8
2369.9,2386.9,2355.05,2380.3
2363.3,2369.9,2320.9,2328.9
2315,2387,2291,2366.2
2368.9,2375.8,2344.4,2362.45
2376,2415.7,2354.8,2400.2
2401,2410,2370.3,2395.1
2396.9,2409.35,2386,2401.15
2400,2431.9,2398.25,2428.65
2428.2,2434.9,2402.55,2427.7
2405,2414.6,2381,2398.45
2398.6,2402.75,2372.5,2396.25
2379.7,2429.5,2365.5,2418.1
2410,2415.1,2388,2398.7
2398.7,2408.95,2382,2391.05
2399.7,2399.7,2334.15,2350
2341,2344,2295,2304.05
2294,2335,2284.5,2319.45
2320,2336.15,2294,2330.55
2337.9,2344.9,2260.05,2277.05
2280.45,2307,2260,2283.2
2180,2275,2142.85,2169.85
2204.8,2217.5,2140.8,2155.45
2147.05,2147.05,2086.2,2101.15
2116.9,2157.55,2051.9,2121.3
2145.1,2208.9,2138,2189.6
2185,2208.6,2130.15,2137.2
2142,2150,2104.2,2125.1
2126.2,2140,2105,2132.9
2132,2177.45,2122.05,2135
2149,2162.95,2127.2,2156.35
2154.9,2207.6,2137,2188.45
2212,2307.25,2192.2,2300.35
2294,2319.45,2251.9,2282.6
2275,2292,2252.55,2259.85
2265,2294.75,2242.3,2276.05
2277,2290,2254.05,2263.45
2258,2270.8,2205.2,2221.85
2229,2237.85,2170,2186
2190,2203.95,2169.9,2182.35
2182.2,2184.45,2145.65,2154.55
2160.5,2199,2160,2195.75
2205,2219.9,2173.3,2195.25
2194.8,2217.6,2163,2208.2
2218,2218,2183,2200.3
2214,2224.7,2189,2207.6
2202,2272.1,2202,2259.3
2277,2290,2252,2282.65
2280,2297.7,2261.3,2288.9
2292,2345,2287.05,2339.3
2343.8,2343.8,2305.6,2313.6
2306,2325,2286.2,2307.7
2300,2317.75,2278.8,2288.1
2266,2301.6,2266,2293.1
2281.5,2330,2281.5,2323.4
2326.7,2349.9,2303.15,2313.4
2303,2359.9,2303,2351.7
2354.9,2378.6,2345.65,2365.55
2366.6,2375.1,2352.4,2361.35
2361.25,2371.7,2343.3,2368.25
2369.7,2388.85,2358.3,2379.5
2384,2389.95,2320.4,2334.4
2321,2329.35,2257.1,2281.4
2275,2311.3,2257,2303.7
2304,2329.8,2291.5,2315.35
2315,2329.6,2280.2,2324.4
2324.4,2360,2304,2344.35
2348,2357.95,2237.85,2249.3
2250,2273.9,2228,2258.55
2254.9,2287.8,2252.8,2278.75
2278,2298,2265.45,2295.1
2295,2295.15,2282.95,2291
2287,2300,2265,2285.35
2265,2313.5,2259.8,2306.7
2304,2323,2290,2318.35
2322.6,2360,2318.05,2353
2345.05,2378.75,2345.05,2357.8
2341,2351.95,2318.15,2332.9
2320,2332.05,2200.05,2229.8
2220,2239.95,2155.55,2167.9
2170.05,2219,2153,2207.65
2209.7,2243,2191,2232.55
2258,2258.5,2214.95,2240.75
2244,2252.6,2226,2244.6
2244.9,2282.6,2244.05,2270.95
2275,2328,2270.2,2317.3
2311,2424.45,2311,2397.95
2396,2429,2382.35,2414.25
2419.65,2419.65,2398,2406.25
2397,2428,2375.1,2413.7
2460,2478,2435.6,2447.75
2472,2475.6,2402,2407.9
2425,2555,2408.1,2502.2
2514,2525.9,2455.15,2465.35
2465.9,2470,2400.15,2411.5
2415,2493.25,2415,2481.8
2479.1,2502,2470.05,2489.85
2489.5,2490,2450,2466.25
2479.9,2501.9,2470,2479.55
2486.7,2510,2470.05,2501.45
2492,2499.7,2475.4,2494.05
2480,2484,2454.55,2472.5
2482.9,2505,2475.05,2499.8
2502,2520,2492.2,2512.2
2514.15,2524,2504.05,2519.75
2519.6,2549.55,2513.95,2542.25
2556.8,2587.15,2551.05,2567.5
2572,2572.15,2493.85,2498.3
2506,2527,2506,2520.9
2546,2546,2509.75,2525.75
2525.95,2525.95,2466,2480
2482,2492,2465,2486.7
2480.15,2496,2469.95,2478.95
2482,2485.05,2447.2,2460.35
2469.8,2469.8,2423.3,2427.2
2426.95,2440,2406,2412.05
2410,2443.4,2410,2429.95
2436,2450.8,2425.6,2444.6
2444.9,2465,2435,2441
2438.4,2440.85,2415,2431.8
2435,2435,2408.2,2411.7
2419.9,2419.9,2395,2401.25
2400,2410,2392.55,2400.05
2394.9,2433.25,2392.15,2429.05
2432,2449,2405,2422.25
2417.3,2443.1,2406,2419.3
2422.5,2428,2383,2393.25
2400,2409,2321.05,2328.65
2330.4,2332.9,2295.15,2314.85
2330,2334.2,2302.05,2308.8
2263.5,2348.7,2252.8,2299.15
2305.3,2332,2290.95,2325.5
2329.1,2335.65,2301,2310.8
2300,2339.65,2282.5,2328.1
2328,2344.45,2302.7,2311.5
2340,2343.95,2303.05,2310.35
2306.05,2327.8,2277.65,2302.65
2294,2298.75,2268,2273.15
2294,2302,2280,2289.9
2295,2345,2268.5,2337.3
2349.95,2350,2308.8,2330.1
2308,2332.5,2302.5,2320.5
2321,2347.4,2317.7,2342.45
2343.95,2361,2332.55,2352.55
2355,2356.15,2316,2332.45
2347.3,2360,2322.75,2349.45
2343.3,2369.9,2320.05,2360.65
2375.1,2377.95,2341.6,2365.1
2380,2435,2373.45,2429.15
2433.5,2460.75,2423,2455.35
2450,2572,2442.25,2536.2
2536.2,2540.55,2486,2507.15
2510,2553.75,2510,2531.35
2533.2,2564.15,2514,2521.7
2534.8,2570,2529.65,2559.15
2577,2637.55,2568,2624.6
2625,2626.85,2564.65,2578.25
2579,2596.5,2564,2572.85
2560,2575.95,2525,2551.1
2533,2572.5,2528,2546.6
2530,2564,2530,2553.6
2556.25,2591.85,2552.5,2564.9
2565,2619.9,2560.15,2603.95
2631,2708.95,2630,2696
2697,2700,2576.55,2615.25
2598,2604.95,2515.5,2521.6
2520,2547.4,2486,2507
2497,2512.9,2470.4,2487.2
2465,2481.1,2447,2451.55
2455,2476,2455,2470.2
2469,2469.7,2405,2411.2
2414.95,2435,2386.5,2399.7
2416.9,2446.35,2405.15,2431.7
2431,2449,2380.3,2445
2440,2442.15,2397.2,2406.3
2409,2431,2385,2394.85
2399.4,2413.95,2354,2361.7
2350.6,2384.7,2331.6,2342.85
2349.9,2358,2335,2350.05
2359,2372.05,2323.1,2333.25
2324.4,2377,2323.1,2362.35
2357.4,2383.05,2343.1,2373.6
2373.3,2380.45,2350.05,2366.85
2360.8,2365,2345,2356
2359,2361.9,2340.1,2347.55
2350,2356.45,2325.5,2331.95
2341,2444.9,2341,2434.95
2426,2514.8,2426,2475.8
2482.5,2483.3,2430.1,2439.45
2445,2472,2426.6,2446.4
2383,2425,2375,2397.45
2397.7,2422.1,2382.2,2395.45
2396.15,2443,2396.15,2408.35
2415.5,2460,2415.1,2449.6
2449.25,2456.9,2430.5,2444.7
2434.9,2500,2434.55,2491.2
2482,2540,2482,2530.7
2525.75,2580,2518.4,2571.5
2560,2575,2547,2556
2542.2,2584.8,2466.5,2481.7
2481,2493.05,2442,2484.3
2471,2519,2463,2491.8
2500,2520.75,2491,2501.65
2500,2508,2462,2473.8
2480,2502,2466.45,2489.45
2490.8,2528.3,2488,2522.8
2516.5,2520,2481.2,2503.45
2512,2528.6,2496.3,2503.05
2500,2522.85,2493.3,2512
2509,2520.6,2486.35,2511.45
2499.9,2535,2483,2496.05
2503,2509.9,2463,2469.4
2484,2543.8,2465.2,2492.35
2500.7,2505,2462.1,2485.65
2474,2549.9,2471.4,2513.8
2505.5,2549,2494.3,2528.8
2523,2539.5,2492,2497.55
2505,2516.8,2473.15,2489.45
2497.7,2517.95,2486.15,2496.6
2504.6,2505.4,2461,2487.3
2482,2496,2463.95,2470.85
2481,2490,2460.1,2484.55
2485,2504.4,2466.65,2496.35
2480,2498.05,2436.55,2456.45
2453.1,2461,2438,2456.2
2460,2490,2437.05,2484.35
2468.15,2474.85,2450,2453.2
2458,2468.4,2451.05,2460.1
2453.75,2474,2452.55,2470.6
2471.2,2482.95,2450,2454.45
2473.9,2497,2457,2488.45
2500,2531.65,2475.2,2489.2
2482,2497.6,2471.9,2486.95
2499,2517,2485,2506.05
2504.95,2518.95,2489.25,2499.05
2505,2505,2491.5,2498.25
2514,2514,2474.3,2493.55
2491.05,2541,2480,2524.9
2519.9,2526.9,2492,2503.6
2496.55,2534,2492.75,2510.75
2510,2526.4,2466,2474.65
2490,2512.2,2473.75,2495
2494.7,2514,2452,2476.45
2479,2484,2421.5,2435.95
2440,2454.3,2427.05,2448.45
2449.6,2454,2425,2442.3
2441,2443.45,2424.4,2429.6
2430,2455,2428.05,2446.65
2441.05,2467.95,2441.05,2454.1
2455,2469.95,2451.25,2459.25
2460,2514.45,2456.75,2500.35
2513,2555,2507,2548.2
2548.2,2608.95,2523,2558.6
2555.05,2590,2555.05,2584.4
2585,2614.95,2577.55,2594.55
2595,2613.65,2580,2586.6
2592,2595.8,2571,2583.9
2584,2629,2547.45,2587.9
2620,2620.9,2569.05,2578.4
2578.5,2614,2555,2559.9
2535.1,2569.15,2517.9,2538.85
2538,2593.15,2530.3,2584.3
2586,2620,2581.7,2616.2
2601.3,2640,2601.3,2624
2624,2626.85,2578.85,2602.85
2608.5,2674,2606.75,2626.15
2632.4,2636.7,2602.8,2620.1
2620,2671.8,2611.75,2665.55
2670,2768,2666.05,2710.05
2723,2759,2718.25,2735
2750,2750,2719.3,2736.4
2722.2,2726,2693.35,2708.75
2702.05,2777.4,2702.05,2758.95
2756.55,2756.55,2707.5,2714.6
2706,2755,2701.35,2705.3
2710,2763,2686.95,2746.65
2748.1,2748.1,2703.6,2707.3
2715,2726.9,2695.3,2703.45
2701,2701,2666,2672.95
2673,2709.7,2672.4,2680.65
2681,2693,2669,2681.25
2682,2702.9,2673.1,2688.05
2688,2695.9,2662.2,2685.85
2686,2702.4,2670,2685.3
2677.5,2693,2650,2658.15
2653.65,2666.95,2623,2637
2635,2668,2621.5,2629.95
2622,2658.5,2602.95,2632.35
2631,2651.7,2628.15,2635.55
2636,2645,2612.85,2633.3
2632.3,2645.95,2615,2617.25
2618,2645,2597,2601.5
2608.35,2672.65,2608.35,2661.1
2661,2662,2607.4,2612.15
2611.4,2651.45,2601,2628.4
2632,2632,2531.1,2557.8
2563.75,2584.45,2536.85,2545.6
2537,2588.95,2494.35,2580.5
2576,2597.8,2564.7,2575.3
2582,2592.75,2550.65,2588.95
2587,2608,2580.05,2595.7
2604,2663.9,2590.2,2646.75
2686,2689.75,2631.6,2649.45
2649.45,2658.5,2610.5,2619.9
2608.8,2653.5,2605.65,2626.95
2623.1,2708.9,2618.55,2701.2
2682.3,2694.8,2635,2645.6
2660,2669.6,2620.2,2631.2
2632,2669,2631.2,2638.65
2650,2662,2640,2657.1
2650,2699.5,2650,2689.2
2700,2726.85,2681.85,2714.4
2715,2721,2676.55,2709
2711,2816,2694.65,2806.6
2810,2821.9,2782.2,2790.5
2805,2805,2740.55,2776.35
2777.15,2808,2735.05,2746.1
2756,2861.65,2750.55,2850.85
2870,2925,2862.15,2888.95
2897,2933,2868.05,2918.2
2930.55,2982,2903.65,2959.3
2961,3134.7,2922,3116.4
3114.95,3142.35,3090.05,3102
3090,3259.05,3082.65,3174.6
3175,3179.8,3081,3121.05
3131.4,3225,3122,3198.85
3180,3203.8,3143.7,3152.85
3137,3150,3098.6,3112.35
3124,3190,3088.8,3138.6
3120,3190,3103.45,3153.65
3110,3188,3076.85,3103.2
3010,3077.15,2985,2997.25
3027,3031,2947.45,2955.05
2979.75,3027.6,2959,2974.2
2950,2994,2896.65,2971.7
2978.3,3023.35,2955.55,2967.3
2970,2974.45,2892.5,2911.8
2931.95,2943,2905.1,2925.85
2923,2999.6,2923,2933.05
2945,2953.3,2895.2,2923.6
2928,2985.05,2927.9,2944.75
2974,3062.6,2960.05,3042.3
3052,3079,3022.5,3050.2
3050,3089,2992.1,3075.8
3075,3089.95,3021.2,3031.7
3041,3078.55,3032,3042.35
3035,3063.95,3021.45,3035.05
3049,3061.2,3020,3037.7
3049,3113.65,3032.95,3105.85
3122,3127,3030.15,3042.8
3070,3089,3018.5,3027.45
3054.9,3054.9,2987.5,3003.95
3005,3063.2,2977.2,3034.1
3043,3083.9,3035.5,3052.15
2924.9,2939.7,2872,2886.8
2892.95,2923.05,2875.05,2886.9
2895,2902.55,2855.6,2869.7
2868.8,2872,2805,2825.7
2829,2848,2820,2831
2820,2873.2,2819,2864.85
2872.5,2884.3,2850,2856.75
2859.95,2875.95,2822.55,2831.35
2802,2834.1,2798.05,2818.15
2819,2827.4,2781.55,2817
2825,2863,2823.05,2847.7
2835.9,2875,2825,2849.15
2840,2914,2840,2909.65
2892.1,2929.9,2892.1,2911.25
2929.45,2934,2892,2910.9
2926.55,2963.75,2920.35,2957.95
2954,2960,2926.55,2950.3
2939.7,2963.5,2915,2923.9
2925.7,2957.25,2925.7,2937.6
2950.6,3025,2945.6,3014.15
3010,3150,3007.95,3139.25
3150,3240.8,3132.1,3153.3
3116,3199.95,3110.75,3187.65
3187.65,3194.95,3147.2,3166.6
3166,3193.45,3145.85,3159.1
3179.9,3217.2,3165.75,3191.15
3250,3422.35,3240,3402.45
3424,3557.9,3389.55,3408.65
3410,3443.15,3342.5,3385.65
3385,3483,3365.05,3470.25
3467,3560,3467,3539.25
3525,3544,3420,3451.95
3451.95,3549,3437.6,3532.1
3530.5,3532.2,3471.3,3499.75
3509.8,3526,3470.4,3481.85
3492,3497,3470,3480.75
3490,3490,3410.9,3420.95
3434.7,3486.5,3396.7,3441.2
3440.2,3494.75,3440.2,3489.3
3502.95,3511.15,3440.2,3451.25
3454.2,3485,3442.5,3456.95
3457,3471,3410.8,3433.55
3450,3495.8,3433.7,3482.4
3479.95,3509,3475.25,3493.9
3512.95,3533.15,3476,3491.8
3480.8,3517.7,3458,3502.05
